text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
Return to my order please,logistics,0,1,4,1,0,1
Awesome service delivery tooFast. Polite behaviour of the delivery person.??????,logistics,2,2,4,2,1,0
Delivery staff is good. Speak politely and have a good knowledge of location.,logistics,2,2,4,2,1,0
I have not received the package and it shows delivered,logistics,0,1,2,0,5,3
Timeless delivered on time thank for delivery,logistics,2,2,4,2,1,0
This is a Good person and fast delivery service,logistics,2,2,4,2,1,0
Delivery partner called me and told me that he couldn't deliver my order because of some reason. However,logistics,1,3,4,1,0,0
The person is humble and cooperative.,logistics,2,2,4,2,1,0
I'm very happy thank you for the order,logistics,2,2,4,2,1,0
Vry good service Nice Dilevery Person,logistics,2,2,4,2,1,0
Already you have prooved that the service is excellent.,logistics,2,2,4,2,1,0
Still I didn't receive my atm card I don't want with whom he gave my debit card,logistics,0,1,4,1,0,1
Delivery boy good ? packaging good,logistics,2,2,4,2,1,0
I have not received this consignment till now. Some fraud is being played by your employees or delivery personnel. I was expecting this to be delivered. I am going to lodge a police complaint against blue dart delivery tomorrow morning. It is disgusting delaying with such cheats. The status says delivered to MAHA.,logistics,0,0,2,0,5,3
Excellent delivery .,logistics,2,2,4,2,1,0
I had not received the courier,logistics,0,1,2,0,5,3
On Time In full Rain,logistics,2,2,4,2,1,0
Best experience with it,logistics,2,2,4,2,1,0
If approx time of delivery is provided it would be better. The range should be within 2 hours.,logistics,1,5,4,1,0,0
1st refuses to give doorstep deliveryFinally he did,logistics,1,5,4,1,0,0
Good personal behavior and good service,logistics,2,2,4,2,1,0
Blue dart staff very co operative ?,logistics,2,2,4,2,1,0
Delivery boy is very good and also on time Delivery,logistics,2,2,4,2,1,0
Yo deliver the parcel before given time,logistics,2,2,4,2,1,0
Prompness,logistics,1,5,4,1,0,0
Ok milga,logistics,1,5,4,1,2,0
Excellent..timely delivery all the time..Delivery boy is very good behavior..,logistics,2,2,4,2,1,0
Delivery was fine thank you,logistics,2,2,4,2,1,0
Delivery partner was so humble and helpful. Thank you.,logistics,2,2,4,2,1,0
I ordered 3 but I got 2 and both were same I would like to complain against order,logistics,0,1,4,1,0,1
V.Gd,logistics,1,5,4,1,0,0
Delivery was very smooth and delivery partner was very cooperative.,logistics,2,2,4,2,1,0
Thnk youuu so much,logistics,2,2,4,2,1,0
no improvement,logistics,0,1,4,1,0,1
Share contact number of delivery person in tracking,logistics,1,3,5,1,0,1
Very well behaved and polite delivery executive.,logistics,2,2,4,2,1,0
Delivery time and person both are good,logistics,2,2,4,2,1,0
Received wrong product and request your agent for return with written request after discussing with Mr Isaan Singh,logistics,0,1,4,0,4,2
Goooddddddddd,logistics,2,2,4,2,1,0
Good service and delivers to remote areas as well.,logistics,2,2,4,2,1,0
This time the deliveries were very late..there are still pending deliveries which were to be deliveries on 25th,logistics,0,0,0,0,4,2
Fast & efficient,logistics,2,2,4,2,1,0
Gud service really satisfied,logistics,2,2,4,2,1,0
Humble and sweet guy,logistics,2,2,4,2,1,0
Very helpful and cooperative staff,logistics,2,2,4,2,1,0
Very poor service This address is located in the same 120 feet road,logistics,0,1,4,0,4,2
Home delivery is just awesome,logistics,2,2,4,2,1,0
3 days delayed delivery I'm not satisfied this delivery,logistics,0,0,0,0,4,2
Not delivered within 48 hours as you claim,logistics,0,0,4,0,4,2
While i appreciate the support of the delivery official in helping me out,logistics,2,2,4,2,1,0
The delivery person was not at all ready to give me my parcel just number due to some personal reasons my otp phone number was out of service I even asked him to verify yet he made me do the recharge of my number very disappointed,logistics,0,1,4,1,0,1
Best service and best delivery agent,logistics,2,2,4,2,1,0
Im not received the package,logistics,0,1,2,0,5,3
This is a good sensible person,logistics,2,2,4,2,1,0
Company is cheater . Received 1 cargo,logistics,0,1,4,1,0,1
Product delivered by very soon,logistics,2,2,4,2,1,0
Thanks to deliverd service,logistics,2,2,4,2,1,0
Good delivery speed and friendly good mannered delivery person.,logistics,2,2,4,2,1,0
Very very very bad ..this is too much disgusting the delivery partner took money from me and didn't delivered the product still now .. disgusting..I never use blue dart service again,logistics,0,1,4,0,4,2
SHOULD BE PROVIDED FAST DELIVERY.,logistics,1,2,4,2,0,0
Good experience. Product delivered on time,logistics,2,2,4,2,1,0
Yesterday Order was not delivered mentioning as delivery was attempted and apartment was locked/closed. But there was no phonecall and delivery was not attempted. We have taken leave and waited for that order. It is complete disappointment.,logistics,0,0,4,0,4,2
Very bad no phone call done to and 1st day with out call attempt my package .,logistics,0,1,4,0,4,2
Good delivery for sure.,logistics,2,2,4,2,1,0
1)People have no courtesy 2) delivery man was upset that I did not have enough change for payment on delivery3) questioning unnecessary queries is unprofessional,logistics,0,1,3,0,5,3
It was efficient on time delivery. No suggestions at the moment.,logistics,2,2,4,2,1,0
He is very sweet and co operative staff..nice behaviour.i am Fully satisfied,logistics,2,2,4,2,1,0
Not delivered in first attempt,logistics,1,0,4,0,5,3
Good affhhjjj,logistics,1,2,4,2,1,0
Excellent delivery service Good behaviour,logistics,2,2,4,2,1,0
Some delay,logistics,1,0,0,0,3,2
Sari is worsted that quality is too bad that's colour is old ????,logistics,0,1,4,0,4,2
Achual time lilebari best fast good,logistics,2,2,4,2,1,0
Very pathetic and bad Service,logistics,0,1,4,0,4,2
Overall good but delivered product before evening,logistics,2,2,4,2,1,0
Best delivery person I have ever meet,logistics,2,2,4,2,1,0
Very Nice Service Sohel Bhai??,logistics,2,2,4,2,1,0
Great experience with blue dart. In my area your delivery agent is very good. Behaviour of your delivery agent is great,logistics,2,2,4,2,1,0
May be by taking less number of days for delivery Rest is fine. Thank you,logistics,1,2,4,2,1,0
Always polite and with patience.,logistics,2,2,4,2,1,0
Delivery partner was humble and able identify the address.,logistics,2,2,4,2,1,0
If the courier does not find my place,logistics,1,5,4,1,0,0
Your services are too good?,logistics,2,2,4,2,1,0
Excellent awesome this delivery boy,logistics,2,2,4,2,1,0
Blue dart customer services is very quickly..I am impressed for your services....,logistics,2,2,4,2,1,0
Bottle was broken into pieces,logistics,0,1,2,0,5,3
Aaaaaaaaaa,logistics,1,5,4,1,0,0
good service executive is polite,logistics,2,2,4,2,1,0
I can?t think of anything as of now,logistics,1,5,4,1,0,0
Thanks blue dart for your fast service.,logistics,2,2,4,2,1,0
I have not recieved the order yet,logistics,0,1,4,1,0,1
One of the worst courier experiences I?ve ever had. My package was supposed to be delivered by 23 may but it?s been delayed with no updates,logistics,0,0,0,0,4,2
Really very nice service?????I m so happy??Thank you??,logistics,2,2,4,2,1,0
Delivery was v fast and smooth.,logistics,2,2,4,2,1,0
Very good service ? very nice,logistics,2,2,4,2,1,0
Bhen chod,logistics,0,1,4,1,0,1
He was politely and Looks Professional,logistics,2,2,4,2,1,0
Bas parcel thoda sa aur jldi krdo,logistics,1,5,4,1,0,0
Very good staff and services,logistics,2,2,4,2,1,0
Thank you Blue dart Express ??,logistics,2,2,4,2,1,0
Parcel is delay every time,logistics,0,0,0,0,4,2
Very good service by the delivery personnel,logistics,2,2,4,2,1,0
Time to time delivery & better cordinate with politely speak.,logistics,2,2,4,2,1,0
Give expected time of delivery as well,logistics,1,5,4,1,0,0
This delivery experience was good.,logistics,2,2,4,2,1,0
Good service person who give dilivery are very polite,logistics,2,2,4,2,1,0
Very Early delivery,logistics,2,2,4,2,1,0
best service blue dart is always best,logistics,2,2,4,2,1,0
Please do call few more times the customer and share the delivery person number to customer so that even if call is missed they can call back and co ordinate properly,logistics,1,5,4,1,0,0
Staff had very good communication skills and smooth delivery,logistics,2,2,4,2,1,0
Blue dart courier man called me and said sir I was trying to reach you but you didn?t pick my call he was laying directly without  shaming he didn?t deliver the parcel and said you can come to office and pick up. Moreover,logistics,0,1,4,1,0,1
Very slow delivery after 9 days and colours has been changed in shoeh,logistics,0,1,4,0,4,2
Sakinak to santacruz. Delivery in 48 hours Thats the blue dart service,logistics,2,2,4,2,1,0
Like present,logistics,1,5,4,1,0,0
Consignment received . No complaints.,logistics,2,1,5,0,4,2
Very good service. The delivery partner was friendly and responsible. Thankyou,logistics,2,2,4,2,1,0
Good delivery guy dhaval darbar,logistics,2,2,4,2,1,0
T shirt material was superb,logistics,2,2,4,2,1,0
The checkbook I haven't received,logistics,0,1,4,1,2,1
good fix,logistics,1,2,4,2,1,0
I observed that your service is better.?,logistics,2,2,4,2,1,0
Blue dart gorakhpur chapiya office ?????? ?? ??? ????? ???? ??? ?? ??? ??? ???? ????,logistics,1,5,4,1,0,0
Best book for class 10,logistics,1,5,4,1,2,0
From last many orders,logistics,1,5,4,1,0,0
I am happy after seeing my parcel and the delivery staff is also very understanding,logistics,2,2,4,2,1,0
On time and super fast delivery,logistics,2,2,4,2,1,0
Product quality is so poor j want refund,logistics,0,1,7,0,5,3
Dedicated and passionate.,logistics,2,2,4,2,1,0
Great Service Like Always. Will definitlely use BlueDart in future as well.,logistics,2,2,4,2,1,0
Great job by the delivery agent,logistics,2,2,4,2,1,0
Delivery was on time nd delivery man  was nice,logistics,2,2,4,2,1,0
Well I got my product with care,logistics,2,2,4,2,1,0
All good but most important delivery person behaviour is very nice,logistics,2,2,4,2,1,0
Best customer service by delivery partner ?,logistics,2,2,4,2,1,0
Very vaey good  I am very happy,logistics,2,2,4,2,1,0
Reached safe my courier good deliveryMan and blue dart,logistics,2,2,4,2,1,0
Excellent work Great Person Good Nature,logistics,2,2,4,2,1,0
Product box is small broken but it's delivery boy is excellent and he talk friendly and product packaging type is nice,logistics,1,1,2,0,1,0
Cover is breaked,logistics,0,1,4,1,0,1
Delivery is smooth and packing is also very good. It took some time to reach me because the item is coming from kerla. Otherwise everything is good.,logistics,2,2,4,2,1,0
Quick and efficient service always !,logistics,2,2,4,2,1,0
Good behaviour of delvry guy,logistics,2,2,4,2,1,0
Satisfied with your present service,logistics,2,2,4,2,1,0
Excellent customer service support,logistics,2,2,4,2,1,0
All good there is no problem,logistics,2,1,4,0,1,0
Impressive for rules and regulation but just think about customer situation also,logistics,1,5,4,1,0,0
Nice Delivery of the curiour,logistics,2,2,4,2,1,0
Before Delivery Show Contact Details OfDelivery Boy.,logistics,1,3,4,1,2,0
Scam produuxt,logistics,0,1,4,1,5,3
fast delivered ?,logistics,2,2,4,2,1,0
Blue dart delivery is a very good deliverd app,logistics,2,2,4,2,1,0
Fine and quick service,logistics,2,2,4,2,1,0
Not received but wrongly got message as delivered,logistics,0,1,2,0,5,3
Delivery staff is very helpful ? ? ?,logistics,2,2,4,2,1,0
Products is change,logistics,0,1,4,1,0,1
Very bad experience with delivery. Give fake reason about delevery,logistics,0,1,4,0,4,2
Excellent Service and on time.,logistics,2,2,4,2,1,0
Fast dilivery and polite attitude,logistics,2,2,4,2,1,0
The quick delivery just works and i request please ensure this at this standard if not better.,logistics,2,2,4,2,1,0
Delivery speed and service is up to the mark.,logistics,2,2,4,2,1,0
I am satisfied with ur order,logistics,2,2,4,2,1,0
Proper update through msg,logistics,2,3,4,2,1,0
Best Experience Really Impressed With His Communication SkillAnd Polite Greeting after handing over my parcel safely to my brother im my absence,logistics,2,2,4,2,1,0
Great job Akshay nice work exlent working in the day ????,logistics,2,2,4,2,1,0
Thank you Titan ? Fast delivery,logistics,2,2,4,2,1,0
Sajan always calls to check for customer availability which a very good practice.,logistics,2,2,4,2,1,0
Get verified on Truecaller,logistics,1,5,4,1,0,0
Very good and well behavior of delivery boy.Too fast delivery.,logistics,2,2,4,2,1,0
Your service is fast and good but product is different received,logistics,1,2,4,2,1,0
My sirname in your message is spelt incorrectly as Dodderi!! Why?,logistics,1,3,4,0,0,0
Sarvice bhahut badhiya hai aap logo ki,logistics,2,2,4,0,0,0
I want to return tha parcel it is wrong parcel I have received,logistics,0,1,4,0,4,2
I got on time.3,logistics,2,2,4,2,1,0
Delivery boy did his best.He is honest to his job.,logistics,2,2,4,2,1,0
Damaged box and product.,logistics,0,1,2,0,5,3
Employee s behaviour is good and cash and online both payment facility available,logistics,2,2,4,2,1,0
Great service. Very polite behavior.Delivery person knew the route very well. I didn't have to struggle to explain the location. Thank you:),logistics,2,2,4,2,1,0
The order was delayed but the delivery boy partner behaviour is very good and the product is in very good condition. I like the product and service,logistics,2,0,0,0,1,0
Good nd kind,logistics,2,2,4,2,1,0
Its very timely and professional,logistics,2,2,4,2,1,0
Wrong supply  material,logistics,0,1,4,0,4,2
not delivered yet and showing status as delivered,logistics,0,0,4,0,4,2
Books pohachne me bohat time laga,logistics,0,1,4,1,2,1
Delivery by 6 pm preferably,logistics,1,5,4,1,0,0
Greatest service ever?,logistics,2,2,4,2,1,0
minimal calls,logistics,1,5,4,1,0,0
V good . Kudos.,logistics,2,2,4,2,1,0
Recruit good staff like the person who was delivering my consignment - He provided service with a smile. Mr Vinod is definitely an asset to your organisation,logistics,2,3,5,1,1,0
Your Delivery partner is so humble.,logistics,2,2,4,2,1,0
The product reached Jamshedpur on Monday but was not delivered. After two days I had to go to Blue Dart's office to receive the product.,logistics,0,0,4,0,4,2
no pasand,logistics,0,1,4,1,0,1
Please replace my order,logistics,0,1,4,1,0,1
Didn't call me once the order reached final delivery station,logistics,0,1,4,1,0,1
vvery good ?,logistics,2,2,4,2,1,0
I am very happy in this service good service ??,logistics,2,2,4,2,1,0
Delivery on time. Delivery partner very polite and respectful. Followed protocol.,logistics,2,2,4,2,1,0
excutive is not respect the customer,logistics,0,1,4,1,0,1
Ex lent,logistics,2,2,4,2,1,0
Delevery man was very polite,logistics,2,2,4,2,1,0
No workout,logistics,1,5,4,1,0,0
Very worst delivery service not once but many times I was promised to get this parcel around evening but the delivery guy came around 9:10pm which is outside the delivery time this is not at all acceptable and the toll free number also doesn?t work to raise an issue I am very much disappointed and I wouldn?t recommend choosing blue dart at all,logistics,0,1,4,0,4,2
Worst staff behavior. He was rude enough to have a fight with my father. If possible,logistics,0,1,3,0,4,2
Delivery was prompt. Delivery person was quite polite.,logistics,2,2,4,2,1,0
On time delivery. Thank you so much.,logistics,2,2,4,2,1,0
Cheated with order and please reyurn,logistics,0,1,4,1,5,3
Send messages of delivery in real time pls but delivery boy ws good,logistics,1,2,4,2,1,0
H ke,logistics,1,5,4,1,0,0
He give me wrong order I have ordered wrist watch he give me coffee cup,logistics,0,1,4,0,4,2
I was not expecting it 3 days earlier but thanks for the delivery,logistics,2,2,4,2,1,0
Good on time fast,logistics,2,2,4,2,1,0
Totally disappointed after 4 days delivered to the 3 km distance of my address,logistics,0,1,4,1,0,1
Two shirts ordered but delivered only one,logistics,0,1,4,1,0,1
Excellent Service by the Executive. Thankyou so much!,logistics,2,2,4,2,1,0
? than you very much greatness service Blue dart,logistics,2,2,4,2,1,0
Super fast Delivery boy,logistics,2,2,4,2,1,0
Wrong order placed at my place,logistics,0,1,4,0,4,2
Good behaviour of your delivery partner,logistics,2,2,4,2,1,0
The delivery guy was very polite and speedy in delivering the product. I really appreciated the promptness and courteous attitude,logistics,2,2,4,2,5,3
The product is not sealed at all and completely damaged product is received.,logistics,0,1,2,0,5,3
Its good no need to serve better.,logistics,2,2,4,2,1,0
Very good day for me,logistics,2,2,4,2,1,0
The delivery executive has visited multiple times and by now he knows everyone at my house but still he double checks before delivering. Either he strictly follows SOP or something else,logistics,1,5,4,1,0,0
Share rider number also before delivery,logistics,1,5,4,1,0,0
Mohd Azad delivered the order very quickly to the address. Thank you!,logistics,2,2,4,2,1,0
He was on time and exactly called from front of my house Thank you,logistics,2,2,4,2,1,0
Nice person supporting Man,logistics,2,2,4,2,1,0
Package is not received and showing delivered. Pls double check and arrange to get the package delivered,logistics,0,1,2,0,5,3
It's already the best.We can't 'better' the best.,logistics,2,2,4,2,1,0
My parcel even being in Blue dart office Imphal,logistics,0,1,4,1,0,1
Dghjm,logistics,1,5,4,1,0,0
did not receive the parcel,logistics,0,1,4,1,0,1
Miss match delivered by,logistics,0,1,4,1,0,1
Good v good v good,logistics,2,2,4,2,1,0
Not specified for Delivery Status.,logistics,1,3,4,1,2,0
dilivery good on the time,logistics,2,2,4,2,1,0
Trustworthy ???,logistics,1,5,4,1,0,0
Not knowing who sheela is and have not even received a call from them that they are delivering to third person,logistics,0,1,4,1,0,1
Ghjhg,logistics,1,5,4,1,0,0
Delay delay,logistics,0,0,0,0,4,2
The delivere boy was awsom,logistics,2,2,4,2,1,0
WASTE ITEM,logistics,0,1,4,1,0,1
Delivery agents behaviour was really very nice. Loved,logistics,2,2,4,2,1,0
I have not received a call to pick up the delivery,logistics,0,1,2,0,5,3
I received before the time. Thank you blue dart.,logistics,2,2,4,2,1,0
Super super ? parcel sarvice,logistics,2,2,4,2,1,0
The delivery person didn?t come to my house and instead asked me to come to a spot a little away,logistics,0,1,4,1,0,1
as expected.,logistics,2,2,4,2,1,0
Vioco,logistics,1,5,4,1,0,0
Even in heavy rain,logistics,2,2,4,2,1,0
When product arrived immediately handover to customer and don't delayed.,logistics,1,0,0,0,3,2
Kind n helping,logistics,2,2,4,2,1,0
Didn't face any problem,logistics,2,1,4,0,0,0
I am happy with the service and delivered products with care.,logistics,2,2,4,2,1,0
Service was  very good. Very  polite. No issues. Thanks.,logistics,2,1,4,0,1,0
Try to deliver in day time.,logistics,1,5,4,1,0,0
No scoop is included in the box,logistics,0,1,4,1,0,1
As it is okay,logistics,1,5,4,1,2,0
The delivery boys is very polite and we'll mannered..Also thanks to bluedart. Delivery on time,logistics,2,2,4,2,1,0
Good? services,logistics,2,2,4,2,1,0
The thing that is not written comes out from within,logistics,1,5,4,1,0,0
Very good for responding,logistics,2,2,4,2,1,0
Most irresponsible courier service on earth. You postpone delivery and pass on the issue as unable or unavailable to deliver message. This happens everytime.,logistics,0,1,4,0,4,2
Ek hi no. Service,logistics,2,2,4,2,1,0
I didn?t got my product there is only covers in that parcel plz return it and refund me,logistics,0,1,7,0,5,3
Very cordial service.,logistics,2,2,4,2,1,0
The delivery boy is very bad not delivered my product at my location he call me and saying come at nagaur and take your product if you not come i will return your product taking like a foolish he is very very bad person his name h ajay singh ???,logistics,0,0,4,0,4,2
??? ?? ???? ????? ????? ?? ?????? ???? ????? ?? ?? ????? ???? ?? ?? ?? ?? ?? ????,logistics,0,1,4,1,0,1
For medicine packages,logistics,1,5,4,1,0,0
Ashok Gurmukhani,logistics,1,5,4,1,2,0
Excellent Service Well Done,logistics,2,2,4,2,1,0
Nothing Just be polite and deliver as per customer requirement.,logistics,1,5,4,2,0,0
The person is very pious and well mannered,logistics,2,2,4,2,1,0
Good costumer service,logistics,2,2,4,2,1,0
Your Delivery Personnel delivered the packet in time. Thanks for the timely delivery.,logistics,2,2,4,2,1,0
We had to go and collect it ourslef,logistics,0,1,4,1,0,1
Good response by Delivery boy timely Delivery,logistics,2,2,4,2,1,0
Very bad service ordered date of product is 5 may and received today on 28 may pathetic service,logistics,0,1,4,0,4,2
Worst service ever..delivery person was very rude... worst worst worst delivery ever ...even i was saying the whole address he was just wasting my time ...what else needed if some one is saying the house number and gali no ...worst delivery boy ..he was standing infront of house mo 77 but he was not getting house no 76..i told he to ask anyone and he rudely disconnected the call..i was trying to contact but he was even disconnectiong the call..please remove such person..worst experience ever...,logistics,0,1,3,0,4,2
Quick and sturdy,logistics,2,2,4,2,1,0
Please try to give an option for the coustomer to take the delivery during his working hours or in the college timings,logistics,1,5,4,1,0,0
It's better at the moment,logistics,1,5,4,1,0,0
Delivery time slot option should be given to the customer.,logistics,1,5,4,1,0,0
Delivery was done within time and the service provider was very polite.,logistics,2,2,4,2,1,0
Delevery agent refused to deliver it to door step,logistics,0,1,4,1,0,1
Delivery boy impression was good and polite,logistics,2,2,4,2,1,0
Courteous staff and timely delivery. Nothing better than Blue Dart in Inter City Delivery,logistics,2,2,4,2,5,3
Was happy that the delivery staff checked id proof while handing over the document,logistics,2,2,4,2,1,0
Your logistics services are very good...will definitely recommend  to my friends and family ???,logistics,2,2,4,2,1,0
It is awesome... i would like to shopping more from this brand...?,logistics,2,2,4,2,1,0
Fast delivery..good behaviour,logistics,2,2,4,2,1,0
I got scammed by the seller,logistics,0,1,4,1,5,3
Good service. Behaviour of the delivery executive was very good.,logistics,2,2,4,2,1,0
Very good ? s,logistics,2,2,4,2,1,0
Blue Dart Delivery is fast and it's very comfortable with shipment ?,logistics,2,2,4,2,1,0
Good and friendly service.,logistics,2,2,4,2,1,0
My order doesn't delivered to me and blue cart Showed us that our order is delivered,logistics,0,1,4,1,0,1
Very cool timely delivery. Courteous delivery person.,logistics,2,2,4,2,5,3
Service is hopeless due not sincere in time,logistics,0,1,4,1,0,1
All is ?????,logistics,1,5,4,1,0,0
Extremely efficient,logistics,2,2,4,2,1,0
Excellent so fart di,logistics,2,2,4,2,1,0
Allover good.,logistics,2,2,4,2,1,0
We are happy with delivery boy,logistics,2,2,4,2,1,0
DELIVERED ON TIME,logistics,2,2,4,2,1,0
Services are too good,logistics,2,2,4,2,1,0
Tracking could be better,logistics,1,3,5,1,0,1
In rainy season delivery man should not concern about the rain water.,logistics,1,5,4,1,3,1
Super and great ? service,logistics,2,2,4,2,1,0
Delivery boy not talking politely...plz instruct him...,logistics,0,1,4,2,0,1
Late dilevery 24th ko parcel receive hona tha 27th ko aaya hai woh bhi jab castomer care ko call ki hai isliye.,logistics,0,0,0,0,4,2
Thanks for you Dilevery,logistics,2,2,4,2,1,0
The package is not delivered to the address I personally have to go to the office to receive it.,logistics,0,0,4,0,4,2
Kotak Mahindra mein liye bahut achcha hai,logistics,2,2,4,2,1,0
I am very happy.Delivery is wonderful.,logistics,2,2,4,2,1,0
The delivery executive was good and courteous.,logistics,2,2,4,2,5,3
I am delivered a parcel with rocks,logistics,0,1,4,1,0,1
The delivery I got was in good condition I got delivery on,logistics,2,2,4,2,1,0
Parcel found empty. Request to hold payment.,logistics,0,1,4,1,0,1
Maine Jo Saman mangaya tha vah yah Mera nahin Hai yah wala Saman mere ko refund karna hai mujhe dusra chahie Varna Mera Paisa wapas karo,logistics,0,1,7,0,5,3
The service was okay as the person who call was rude.The way he was talking was not good...PLEASE ASK HIM TO ENHANCE HIS COMMUNICATION SKILL AND BE KIND.,logistics,0,1,3,0,4,2
Delivery was very fast and convenient. Delivery boy Mr. Surendra singh was very helpful. Thank you for your service,logistics,2,2,4,2,1,0
Prompt Service as per message,logistics,2,2,4,2,1,0
TAT should be improved. Item delivered after complaint.,logistics,1,1,4,0,4,2
YOUR SERVICE IS VERY EXCELLENT.NO WORDS SAYING ANYTHING FOR YOUR SERVICE.YOUR TEAM ONE OF THE BEST TEAM.I M PROUD OF YOU AND YOUR SERVICE.THANKS JAY HIND,logistics,2,2,4,2,1,0
You are good ..,logistics,2,2,4,2,1,0
Delivery person was very kind and understandable person. Blue Dart should encourage and promote such delivery person. He is very punctual and polite. True to the work and Customers,logistics,2,2,4,2,1,0
Servic no,logistics,1,5,4,1,0,0
Not received any shipment at my address,logistics,0,1,2,0,5,3
Time should be maintained,logistics,1,5,4,1,0,0
Ahmed khan,logistics,1,5,4,1,0,0
I received one of the best online service .Thanks to blue dart,logistics,2,2,4,2,1,0
Love the service !,logistics,2,2,4,2,1,0
Good service Akshay nice work exlent working with blue dart,logistics,2,2,4,2,1,0
Very good service chaubey excellent,logistics,2,2,4,2,1,0
delivery person?s behaviour very helpful,logistics,2,2,4,2,1,0
Very bad service in my area.This is my pin code 788722,logistics,0,1,4,0,4,2
I didn't receive the parcels,logistics,0,1,4,1,0,1
Parcel delivered two days after the delivery date,logistics,0,1,4,1,0,1
Had a great delivery experience,logistics,2,2,4,2,1,0
"The delivery boy kept the parcel with him for 2 days and updated the status at 9 pm on both the days that ""Attempted delivery but consignee was not available""",logistics,0,1,4,1,2,1
I don't receive one item,logistics,0,1,4,1,0,1
Delivery person's behavior was so nice,logistics,2,2,4,2,1,0
Ishsuhsisgsigeishsush sjeb issbne,logistics,1,5,4,1,0,0
Nothing to improve all fine delivery service,logistics,2,2,4,2,1,0
Djdjsj,logistics,1,5,4,1,0,0
Nice ? prodect,logistics,2,2,4,2,1,0
Not delivered do far,logistics,0,0,4,0,4,2
We need exchange,logistics,0,1,4,1,0,1
He didn? even ask for otp n also did my signature on his own. When I asked for it he said it? not required,logistics,0,1,4,1,0,1
Staff Is good but quality is shit,logistics,0,1,4,2,1,1
It is good already.,logistics,2,2,4,2,1,0
Great service by Rajiv Yadav,logistics,2,2,4,2,1,0
Received an item late than promised date of delivery,logistics,0,0,0,0,4,2
Rahj,logistics,1,5,4,1,0,0
Always worst,logistics,0,1,4,0,4,2
U send a wrong product and worst product to me please take a return this product,logistics,0,1,4,0,4,2
Nice service. Keep in the same spirit,logistics,2,2,4,2,1,0
Service is quite good.  Keep it up!Ss,logistics,2,2,4,2,1,0
Your delivery team seems to be the best,logistics,2,2,4,2,1,0
Good behaviour and prompt delivery,logistics,2,2,4,2,1,0
Activeness is the biggest key for success,logistics,1,5,4,1,0,0
Good and keep the same good service to the customers,logistics,2,2,4,2,1,0
Blue Dart is always best..keep it up ?,logistics,2,2,4,2,1,0
Good delivery man And my product condition also good in condition,logistics,2,2,4,2,1,0
Yadav bhai ache the itti barish me hlbhi wo parcel ghar tak deliver karne gaye TYSM.,logistics,2,2,4,2,1,0
Contact of the delivery person,logistics,1,5,4,1,0,0
Good person Timely delivery,logistics,2,2,4,2,1,0
Not delivered  two daysI went and collect,logistics,0,0,4,0,4,2
Rude delivery partner. Did not give home delivery instead called to pick outdoors,logistics,0,1,3,0,4,2
