text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment
I'm very happy thank you for the order,2,2,4,fallback_support,2
Vry good service Nice Dilevery Person,2,2,4,fallback_support,2
Already you have prooved that the service is excellent.,2,2,4,fallback_support,2
Still I didn't receive my atm card I don't want with whom he gave my debit card,0,0,4,fallback_support,1
Delivery boy good ? packaging good,2,2,4,fallback_support,2
I have not received this consignment till now. Some fraud is being played by your employees or delivery personnel. I was expecting this to be delivered. I am going to lodge a police complaint against blue dart delivery tomorrow morning. It is disgusting delaying with such cheats. The status says delivered to MAHA.,0,0,2,damage_lost,0
Excellent delivery .,2,2,4,fallback_support,2
I had not received the courier,0,0,2,damage_lost,0
On Time In full Rain,2,2,4,fallback_support,2
Best experience with it,2,2,4,fallback_support,2
If approx time of delivery is provided it would be better. The range should be within 2 hours.,1,1,4,fallback_support,1
1st refuses to give doorstep deliveryFinally he did,1,1,4,fallback_support,1
Good personal behavior and good service,2,2,3,behaviour,2
Blue dart staff very co operative ?,2,2,4,fallback_support,2
Delivery boy is very good and also on time Delivery,2,2,4,fallback_support,2
Yo deliver the parcel before given time,2,2,4,fallback_support,2
Prompness,1,1,4,fallback_support,1
Ok milga,1,1,4,fallback_support,1
Excellent..timely delivery all the time..Delivery boy is very good behavior..,2,2,3,behaviour,2
Delivery was fine thank you,2,2,4,fallback_support,2
Delivery partner was so humble and helpful. Thank you.,2,2,4,fallback_support,2
I ordered 3 but I got 2 and both were same I would like to complain against order,0,0,4,fallback_support,1
V.Gd,1,1,4,fallback_support,1
Delivery was very smooth and delivery partner was very cooperative.,2,2,4,fallback_support,2
Thnk youuu so much,2,2,4,fallback_support,2
no improvement,0,0,4,fallback_support,1
Share contact number of delivery person in tracking,1,1,5,tracking,1
Very well behaved and polite delivery executive.,2,2,4,fallback_support,2
Delivery time and person both are good,2,2,4,fallback_support,2
Received wrong product and request your agent for return with written request after discussing with Mr Isaan Singh,0,0,7,refund,0
Goooddddddddd,2,2,4,fallback_support,2
Good service and delivers to remote areas as well.,2,2,4,fallback_support,2
This time the deliveries were very late..there are still pending deliveries which were to be deliveries on 25th,0,0,0,delay,0
Fast & efficient,2,2,4,fallback_support,2
Gud service really satisfied,2,2,4,fallback_support,2
Humble and sweet guy,2,2,4,fallback_support,2
Very helpful and cooperative staff,2,2,4,fallback_support,2
Very poor service This address is located in the same 120 feet road,0,0,6,pricing,0
Home delivery is just awesome,2,2,4,fallback_support,2
3 days delayed delivery I'm not satisfied this delivery,0,0,0,delay,0
Not delivered within 48 hours as you claim,0,0,4,fallback_support,0
While i appreciate the support of the delivery official in helping me out,2,2,4,support,2
The delivery person was not at all ready to give me my parcel just number due to some personal reasons my otp phone number was out of service I even asked him to verify yet he made me do the recharge of my number very disappointed,0,0,4,fallback_support,1
Best service and best delivery agent,2,2,4,fallback_support,2
Im not received the package,0,0,2,damage_lost,0
This is a good sensible person,2,2,4,fallback_support,2
Company is cheater . Received 1 cargo,0,0,4,fallback_support,1
Product delivered by very soon,2,2,4,fallback_support,2
Thanks to deliverd service,2,2,4,fallback_support,2
Good delivery speed and friendly good mannered delivery person.,2,2,4,fallback_support,2
Very very very bad ..this is too much disgusting the delivery partner took money from me and didn't delivered the product still now .. disgusting..I never use blue dart service again,0,0,4,fallback_support,0
SHOULD BE PROVIDED FAST DELIVERY.,1,1,4,fallback_support,2
Good experience. Product delivered on time,2,2,4,fallback_support,2
Yesterday Order was not delivered mentioning as delivery was attempted and apartment was locked/closed. But there was no phonecall and delivery was not attempted. We have taken leave and waited for that order. It is complete disappointment.,0,0,4,support,0
Very bad no phone call done to and 1st day with out call attempt my package .,0,0,4,support,0
Good delivery for sure.,2,2,4,fallback_support,2
1)People have no courtesy 2) delivery man was upset that I did not have enough change for payment on delivery3) questioning unnecessary queries is unprofessional,0,0,3,behaviour,0
It was efficient on time delivery. No suggestions at the moment.,2,2,4,fallback_support,2
He is very sweet and co operative staff..nice behaviour.i am Fully satisfied,2,2,3,behaviour,2
Not delivered in first attempt,1,0,4,fallback_support,0
Good affhhjjj,1,2,4,fallback_support,2
Excellent delivery service Good behaviour,2,2,3,behaviour,2
Some delay,1,0,0,delay,0
Sari is worsted that quality is too bad that's colour is old ????,0,0,4,fallback_support,0
Achual time lilebari best fast good,2,2,4,fallback_support,2
Very pathetic and bad Service,0,0,4,fallback_support,0
Overall good but delivered product before evening,2,2,4,fallback_support,2
Best delivery person I have ever meet,2,2,4,fallback_support,2
Very Nice Service Sohel Bhai??,2,2,4,fallback_support,2
Great experience with blue dart. In my area your delivery agent is very good. Behaviour of your delivery agent is great,2,2,3,behaviour,2
May be by taking less number of days for delivery Rest is fine. Thank you,1,2,4,fallback_support,2
Always polite and with patience.,2,2,4,fallback_support,2
Delivery partner was humble and able identify the address.,2,2,4,fallback_support,2
If the courier does not find my place,1,1,4,fallback_support,1
Your services are too good?,2,2,4,fallback_support,2
Excellent awesome this delivery boy,2,2,4,fallback_support,2
Blue dart customer services is very quickly..I am impressed for your services....,2,2,4,support,2
Bottle was broken into pieces,0,0,2,damage_lost,0
Aaaaaaaaaa,1,1,4,fallback_support,1
good service executive is polite,2,2,4,fallback_support,2
I can?t think of anything as of now,1,1,4,fallback_support,1
Thanks blue dart for your fast service.,2,2,4,fallback_support,2
I have not recieved the order yet,0,0,4,fallback_support,1
One of the worst courier experiences I?ve ever had. My package was supposed to be delivered by 23 may but it?s been delayed with no updates,0,0,0,delay,0
Really very nice service?????I m so happy??Thank you??,2,2,4,fallback_support,2
Delivery was v fast and smooth.,2,2,4,fallback_support,2
Very good service ? very nice,2,2,4,fallback_support,2
Bhen chod,0,0,4,fallback_support,1
He was politely and Looks Professional,2,2,4,fallback_support,2
Bas parcel thoda sa aur jldi krdo,1,1,4,fallback_support,1
Very good staff and services,2,2,4,fallback_support,2
Thank you Blue dart Express ??,2,2,4,fallback_support,2
Parcel is delay every time,0,0,0,delay,0
Very good service by the delivery personnel,2,2,4,fallback_support,2
Time to time delivery & better cordinate with politely speak.,2,2,4,fallback_support,2
Give expected time of delivery as well,1,1,4,fallback_support,1
This delivery experience was good.,2,2,4,fallback_support,2
Good service person who give dilivery are very polite,2,2,4,fallback_support,2
Very Early delivery,2,2,4,fallback_support,2
best service blue dart is always best,2,2,4,fallback_support,2
Please do call few more times the customer and share the delivery person number to customer so that even if call is missed they can call back and co ordinate properly,1,1,4,support,1
Staff had very good communication skills and smooth delivery,2,2,4,fallback_support,2
Blue dart courier man called me and said sir I was trying to reach you but you didn?t pick my call he was laying directly without  shaming he didn?t deliver the parcel and said you can come to office and pick up. Moreover,0,0,4,support,1
Very slow delivery after 9 days and colours has been changed in shoeh,0,0,4,fallback_support,0
Sakinak to santacruz. Delivery in 48 hours Thats the blue dart service,2,2,4,fallback_support,2
Like present,1,1,4,fallback_support,1
Consignment received . No complaints.,2,2,5,tracking,0
Very good service. The delivery partner was friendly and responsible. Thankyou,2,2,4,fallback_support,2
Good delivery guy dhaval darbar,2,2,4,fallback_support,2
T shirt material was superb,2,2,4,fallback_support,2
The checkbook I haven't received,0,0,4,fallback_support,1
good fix,1,2,4,fallback_support,2
I observed that your service is better.?,2,2,4,fallback_support,2
Blue dart gorakhpur chapiya office ?????? ?? ??? ????? ???? ??? ?? ??? ??? ???? ????,1,1,4,fallback_support,1
Best book for class 10,1,1,4,fallback_support,1
From last many orders,1,1,4,fallback_support,1
I am happy after seeing my parcel and the delivery staff is also very understanding,2,2,4,fallback_support,2
On time and super fast delivery,2,2,4,fallback_support,2
Product quality is so poor j want refund,0,0,7,refund,0
Dedicated and passionate.,2,2,4,fallback_support,2
Great Service Like Always. Will definitlely use BlueDart in future as well.,2,2,4,fallback_support,2
Great job by the delivery agent,2,2,4,fallback_support,2
Delivery was on time nd delivery man  was nice,2,2,4,fallback_support,2
Well I got my product with care,2,2,4,fallback_support,2
All good but most important delivery person behaviour is very nice,2,2,3,behaviour,2
Best customer service by delivery partner ?,2,2,4,support,2
Very vaey good  I am very happy,2,2,4,fallback_support,2
Reached safe my courier good deliveryMan and blue dart,2,2,4,fallback_support,2
Excellent work Great Person Good Nature,2,2,4,fallback_support,2
Product box is small broken but it's delivery boy is excellent and he talk friendly and product packaging type is nice,1,2,2,damage_lost,0
Cover is breaked,0,0,4,fallback_support,1
Delivery is smooth and packing is also very good. It took some time to reach me because the item is coming from kerla. Otherwise everything is good.,2,2,4,fallback_support,2
Quick and efficient service always !,2,2,4,fallback_support,2
Good behaviour of delvry guy,2,2,3,behaviour,2
Satisfied with your present service,2,2,4,fallback_support,2
Excellent customer service support,2,2,4,support,2
All good there is no problem,2,0,4,fallback_support,0
Impressive for rules and regulation but just think about customer situation also,1,1,4,fallback_support,1
Nice Delivery of the curiour,2,2,4,fallback_support,2
Before Delivery Show Contact Details OfDelivery Boy.,1,1,4,support,1
Scam produuxt,0,0,4,fallback_support,1
fast delivered ?,2,2,4,fallback_support,2
Blue dart delivery is a very good deliverd app,2,2,4,fallback_support,2
Fine and quick service,2,2,4,fallback_support,2
Not received but wrongly got message as delivered,0,0,2,damage_lost,0
Delivery staff is very helpful ? ? ?,2,2,4,fallback_support,2
Products is change,0,0,4,fallback_support,1
Very bad experience with delivery. Give fake reason about delevery,0,0,4,fallback_support,0
Excellent Service and on time.,2,2,4,fallback_support,2
Fast dilivery and polite attitude,2,2,4,fallback_support,2
The quick delivery just works and i request please ensure this at this standard if not better.,2,2,4,fallback_support,2
Delivery speed and service is up to the mark.,2,2,4,fallback_support,2
I am satisfied with ur order,2,2,4,fallback_support,2
Proper update through msg,2,2,4,fallback_support,2
Best Experience Really Impressed With His Communication SkillAnd Polite Greeting after handing over my parcel safely to my brother im my absence,2,2,4,fallback_support,2
Great job Akshay nice work exlent working in the day ????,2,2,4,fallback_support,2
Thank you Titan ? Fast delivery,2,2,4,fallback_support,2
Sajan always calls to check for customer availability which a very good practice.,2,2,4,support,2
Get verified on Truecaller,1,1,4,support,1
Very good and well behavior of delivery boy.Too fast delivery.,2,2,3,behaviour,2
Your service is fast and good but product is different received,1,2,4,fallback_support,2
My sirname in your message is spelt incorrectly as Dodderi!! Why?,1,1,4,fallback_support,0
Sarvice bhahut badhiya hai aap logo ki,2,0,4,fallback_support,0
I want to return tha parcel it is wrong parcel I have received,0,0,7,refund,0
I got on time.3,2,2,4,fallback_support,2
Delivery boy did his best.He is honest to his job.,2,2,4,fallback_support,2
Damaged box and product.,0,0,2,damage_lost,0
Employee s behaviour is good and cash and online both payment facility available,2,2,3,behaviour,2
Great service. Very polite behavior.Delivery person knew the route very well. I didn't have to struggle to explain the location. Thank you:),2,2,3,behaviour,2
The order was delayed but the delivery boy partner behaviour is very good and the product is in very good condition. I like the product and service,2,0,0,delay,0
Good nd kind,2,2,4,fallback_support,2
Its very timely and professional,2,2,4,fallback_support,2
Wrong supply  material,0,0,4,fallback_support,0
not delivered yet and showing status as delivered,0,0,0,delay,0
Books pohachne me bohat time laga,0,0,4,fallback_support,1
Delivery by 6 pm preferably,1,1,4,fallback_support,1
Greatest service ever?,2,2,4,fallback_support,2
minimal calls,1,1,4,support,1
V good . Kudos.,2,2,4,fallback_support,2
Recruit good staff like the person who was delivering my consignment - He provided service with a smile. Mr Vinod is definitely an asset to your organisation,2,2,5,tracking,1
Your Delivery partner is so humble.,2,2,4,fallback_support,2
The product reached Jamshedpur on Monday but was not delivered. After two days I had to go to Blue Dart's office to receive the product.,0,0,4,fallback_support,0
no pasand,0,0,4,fallback_support,1
Please replace my order,0,0,4,fallback_support,1
Didn't call me once the order reached final delivery station,0,0,4,support,1
vvery good ?,2,2,4,fallback_support,2
I am very happy in this service good service ??,2,2,4,fallback_support,2
Delivery on time. Delivery partner very polite and respectful. Followed protocol.,2,2,4,fallback_support,2
excutive is not respect the customer,0,0,4,fallback_support,1
Ex lent,2,2,4,fallback_support,2
Delevery man was very polite,2,2,4,fallback_support,2
No workout,1,1,4,fallback_support,1
Very worst delivery service not once but many times I was promised to get this parcel around evening but the delivery guy came around 9:10pm which is outside the delivery time this is not at all acceptable and the toll free number also doesn?t work to raise an issue I am very much disappointed and I wouldn?t recommend choosing blue dart at all,0,0,4,fallback_support,0
Worst staff behavior. He was rude enough to have a fight with my father. If possible,0,0,3,behaviour,0
Delivery was prompt. Delivery person was quite polite.,2,2,4,fallback_support,2
On time delivery. Thank you so much.,2,2,4,fallback_support,2
Cheated with order and please reyurn,0,0,4,fallback_support,1
Send messages of delivery in real time pls but delivery boy ws good,1,2,4,fallback_support,2
H ke,1,1,4,fallback_support,1
He give me wrong order I have ordered wrist watch he give me coffee cup,0,0,6,pricing,0
I was not expecting it 3 days earlier but thanks for the delivery,2,2,4,fallback_support,2
Good on time fast,2,2,4,fallback_support,2
Totally disappointed after 4 days delivered to the 3 km distance of my address,0,0,4,fallback_support,1
Two shirts ordered but delivered only one,0,0,4,fallback_support,1
Excellent Service by the Executive. Thankyou so much!,2,2,4,fallback_support,2
? than you very much greatness service Blue dart,2,2,4,fallback_support,2
Super fast Delivery boy,2,2,4,fallback_support,2
Wrong order placed at my place,0,0,4,fallback_support,0
Good behaviour of your delivery partner,2,2,3,behaviour,2
The delivery guy was very polite and speedy in delivering the product. I really appreciated the promptness and courteous attitude,2,2,4,fallback_support,2
The product is not sealed at all and completely damaged product is received.,0,0,2,damage_lost,0
Its good no need to serve better.,2,2,4,fallback_support,2
Very good day for me,2,2,4,fallback_support,2
The delivery executive has visited multiple times and by now he knows everyone at my house but still he double checks before delivering. Either he strictly follows SOP or something else,1,1,4,fallback_support,1
Share rider number also before delivery,1,1,4,fallback_support,1
Mohd Azad delivered the order very quickly to the address. Thank you!,2,2,4,fallback_support,2
He was on time and exactly called from front of my house Thank you,2,2,4,support,2
Nice person supporting Man,2,2,4,support,2
Package is not received and showing delivered. Pls double check and arrange to get the package delivered,0,0,2,damage_lost,0
It's already the best.We can't 'better' the best.,2,2,4,fallback_support,2
My parcel even being in Blue dart office Imphal,0,0,4,fallback_support,1
Dghjm,1,1,4,fallback_support,1
did not receive the parcel,0,0,2,damage_lost,0
Miss match delivered by,0,0,4,fallback_support,1
Good v good v good,2,2,4,fallback_support,2
Not specified for Delivery Status.,1,1,4,fallback_support,1
dilivery good on the time,2,2,4,fallback_support,2
Trustworthy ???,1,1,4,fallback_support,1
Not knowing who sheela is and have not even received a call from them that they are delivering to third person,0,0,4,support,1
Ghjhg,1,1,4,fallback_support,1
Delay delay,0,0,0,delay,0
The delivere boy was awsom,2,2,4,fallback_support,2
WASTE ITEM,0,0,4,fallback_support,1
Delivery agents behaviour was really very nice. Loved,2,2,3,behaviour,2
I have not received a call to pick up the delivery,0,0,2,damage_lost,0
I received before the time. Thank you blue dart.,2,2,4,fallback_support,2
Super super ? parcel sarvice,2,2,4,fallback_support,2
The delivery person didn?t come to my house and instead asked me to come to a spot a little away,0,0,4,fallback_support,1
as expected.,2,2,4,fallback_support,2
Vioco,1,1,4,fallback_support,1
Even in heavy rain,2,2,4,fallback_support,2
When product arrived immediately handover to customer and don't delayed.,1,0,0,delay,0
Kind n helping,2,2,4,fallback_support,2
Didn't face any problem,2,0,4,fallback_support,0
I am happy with the service and delivered products with care.,2,2,4,fallback_support,2
Service was  very good. Very  polite. No issues. Thanks.,2,0,4,fallback_support,0
Try to deliver in day time.,1,1,4,fallback_support,1
No scoop is included in the box,0,0,4,fallback_support,1
As it is okay,1,1,4,fallback_support,1
The delivery boys is very polite and we'll mannered..Also thanks to bluedart. Delivery on time,2,2,4,fallback_support,2
Good? services,2,2,4,fallback_support,2
The thing that is not written comes out from within,1,1,4,fallback_support,1
Very good for responding,2,2,4,fallback_support,2
Most irresponsible courier service on earth. You postpone delivery and pass on the issue as unable or unavailable to deliver message. This happens everytime.,0,0,4,fallback_support,0
Ek hi no. Service,2,2,4,fallback_support,2
I didn?t got my product there is only covers in that parcel plz return it and refund me,0,0,7,refund,0
Very cordial service.,2,2,4,fallback_support,2
The delivery boy is very bad not delivered my product at my location he call me and saying come at nagaur and take your product if you not come i will return your product taking like a foolish he is very very bad person his name h ajay singh ???,0,0,7,refund,0
??? ?? ???? ????? ????? ?? ?????? ???? ????? ?? ?? ????? ???? ?? ?? ?? ?? ?? ????,0,0,4,fallback_support,1
For medicine packages,1,1,4,fallback_support,1
Ashok Gurmukhani,1,1,4,fallback_support,1
Excellent Service Well Done,2,2,4,fallback_support,2
Nothing Just be polite and deliver as per customer requirement.,1,1,4,fallback_support,2
The person is very pious and well mannered,2,2,4,fallback_support,2
Good costumer service,2,2,4,fallback_support,2
Your Delivery Personnel delivered the packet in time. Thanks for the timely delivery.,2,2,4,fallback_support,2
We had to go and collect it ourslef,0,0,4,fallback_support,1
Good response by Delivery boy timely Delivery,2,2,4,fallback_support,2
Very bad service ordered date of product is 5 may and received today on 28 may pathetic service,0,0,4,fallback_support,0
Worst service ever..delivery person was very rude... worst worst worst delivery ever ...even i was saying the whole address he was just wasting my time ...what else needed if some one is saying the house number and gali no ...worst delivery boy ..he was standing infront of house mo 77 but he was not getting house no 76..i told he to ask anyone and he rudely disconnected the call..i was trying to contact but he was even disconnectiong the call..please remove such person..worst experience ever...,0,0,3,behaviour,0
Quick and sturdy,2,2,4,fallback_support,2
Please try to give an option for the coustomer to take the delivery during his working hours or in the college timings,1,1,4,fallback_support,1
It's better at the moment,1,1,4,fallback_support,1
Delivery time slot option should be given to the customer.,1,1,4,fallback_support,1
Delivery was done within time and the service provider was very polite.,2,2,4,fallback_support,2
Delevery agent refused to deliver it to door step,0,0,4,fallback_support,1
Delivery boy impression was good and polite,2,2,4,fallback_support,2
Courteous staff and timely delivery. Nothing better than Blue Dart in Inter City Delivery,2,2,4,fallback_support,2
Was happy that the delivery staff checked id proof while handing over the document,2,2,4,fallback_support,2
Your logistics services are very good...will definitely recommend  to my friends and family ???,2,2,4,fallback_support,2
It is awesome... i would like to shopping more from this brand...?,2,2,4,fallback_support,2
Fast delivery..good behaviour,2,2,3,behaviour,2
I got scammed by the seller,0,0,4,fallback_support,1
Good service. Behaviour of the delivery executive was very good.,2,2,3,behaviour,2
Very good ? s,2,2,4,fallback_support,2
Blue Dart Delivery is fast and it's very comfortable with shipment ?,2,2,4,fallback_support,2
Good and friendly service.,2,2,4,fallback_support,2
My order doesn't delivered to me and blue cart Showed us that our order is delivered,0,0,4,fallback_support,1
Very cool timely delivery. Courteous delivery person.,2,2,4,fallback_support,2
Service is hopeless due not sincere in time,0,0,4,fallback_support,1
All is ?????,1,1,4,fallback_support,1
Extremely efficient,2,2,4,fallback_support,2
Excellent so fart di,2,2,4,fallback_support,2
Allover good.,2,2,4,fallback_support,2
We are happy with delivery boy,2,2,4,fallback_support,2
DELIVERED ON TIME,2,2,4,fallback_support,2
Services are too good,2,2,4,fallback_support,2
Tracking could be better,1,1,5,tracking,1
In rainy season delivery man should not concern about the rain water.,1,1,4,fallback_support,1
Super and great ? service,2,2,4,fallback_support,2
Delivery boy not talking politely...plz instruct him...,0,0,4,fallback_support,2
Late dilevery 24th ko parcel receive hona tha 27th ko aaya hai woh bhi jab castomer care ko call ki hai isliye.,0,0,0,delay,0
Thanks for you Dilevery,2,2,4,fallback_support,2
The package is not delivered to the address I personally have to go to the office to receive it.,0,0,4,fallback_support,0
Kotak Mahindra mein liye bahut achcha hai,2,2,4,fallback_support,2
I am very happy.Delivery is wonderful.,2,2,4,fallback_support,2
The delivery executive was good and courteous.,2,2,4,fallback_support,2
I am delivered a parcel with rocks,0,0,4,fallback_support,1
The delivery I got was in good condition I got delivery on,2,2,4,fallback_support,2
Parcel found empty. Request to hold payment.,0,0,4,fallback_support,1
Maine Jo Saman mangaya tha vah yah Mera nahin Hai yah wala Saman mere ko refund karna hai mujhe dusra chahie Varna Mera Paisa wapas karo,0,0,7,refund,0
The service was okay as the person who call was rude.The way he was talking was not good...PLEASE ASK HIM TO ENHANCE HIS COMMUNICATION SKILL AND BE KIND.,0,0,3,behaviour,0
Delivery was very fast and convenient. Delivery boy Mr. Surendra singh was very helpful. Thank you for your service,2,2,4,fallback_support,2
Prompt Service as per message,2,2,4,fallback_support,2
TAT should be improved. Item delivered after complaint.,1,1,4,support,0
YOUR SERVICE IS VERY EXCELLENT.NO WORDS SAYING ANYTHING FOR YOUR SERVICE.YOUR TEAM ONE OF THE BEST TEAM.I M PROUD OF YOU AND YOUR SERVICE.THANKS JAY HIND,2,2,4,fallback_support,2
You are good ..,2,2,4,fallback_support,2
Delivery person was very kind and understandable person. Blue Dart should encourage and promote such delivery person. He is very punctual and polite. True to the work and Customers,2,2,4,fallback_support,2
Servic no,1,1,4,fallback_support,1
Not received any shipment at my address,0,0,2,damage_lost,0
Time should be maintained,1,1,4,fallback_support,1
Ahmed khan,1,1,4,fallback_support,1
I received one of the best online service .Thanks to blue dart,2,2,4,fallback_support,2
Love the service !,2,2,4,fallback_support,2
Good service Akshay nice work exlent working with blue dart,2,2,4,fallback_support,2
Very good service chaubey excellent,2,2,4,fallback_support,2
delivery person?s behaviour very helpful,2,2,3,behaviour,2
Very bad service in my area.This is my pin code 788722,0,0,4,fallback_support,0
I didn't receive the parcels,0,0,4,fallback_support,1
Parcel delivered two days after the delivery date,0,0,4,fallback_support,1
Had a great delivery experience,2,2,4,fallback_support,2
"The delivery boy kept the parcel with him for 2 days and updated the status at 9 pm on both the days that ""Attempted delivery but consignee was not available""",0,0,4,fallback_support,1
I don't receive one item,0,0,4,fallback_support,1
Delivery person's behavior was so nice,2,2,3,behaviour,2
Ishsuhsisgsigeishsush sjeb issbne,1,1,4,fallback_support,1
Nothing to improve all fine delivery service,2,2,4,fallback_support,2
Djdjsj,1,1,4,fallback_support,1
Nice ? prodect,2,2,4,fallback_support,2
Not delivered do far,0,0,4,fallback_support,0
We need exchange,0,0,7,refund,0
He didn? even ask for otp n also did my signature on his own. When I asked for it he said it? not required,0,0,4,fallback_support,1
Staff Is good but quality is shit,0,0,4,fallback_support,2
It is good already.,2,2,4,fallback_support,2
Great service by Rajiv Yadav,2,2,4,fallback_support,2
Received an item late than promised date of delivery,0,0,0,delay,0
Rahj,1,1,4,fallback_support,1
Always worst,0,0,4,fallback_support,0
U send a wrong product and worst product to me please take a return this product,0,0,7,refund,0
Nice service. Keep in the same spirit,2,2,4,fallback_support,2
Service is quite good.  Keep it up!Ss,2,2,4,fallback_support,2
Your delivery team seems to be the best,2,2,4,fallback_support,2
Good behaviour and prompt delivery,2,2,3,behaviour,2
Activeness is the biggest key for success,1,1,4,fallback_support,1
Good and keep the same good service to the customers,2,2,4,fallback_support,2
Blue Dart is always best..keep it up ?,2,2,4,fallback_support,2
Good delivery man And my product condition also good in condition,2,2,4,fallback_support,2
Yadav bhai ache the itti barish me hlbhi wo parcel ghar tak deliver karne gaye TYSM.,2,2,4,fallback_support,2
Contact of the delivery person,1,1,4,support,1
Good person Timely delivery,2,2,4,fallback_support,2
Not delivered  two daysI went and collect,0,0,4,fallback_support,0
Rude delivery partner. Did not give home delivery instead called to pick outdoors,0,0,3,behaviour,0
I have to collect my parcel from blue dart office,0,0,4,fallback_support,1
fast  and polite,2,2,4,fallback_support,2
Good courier service blue dart,2,2,4,fallback_support,2
Good Experience and delivery was fast.,2,2,4,fallback_support,2
Good Men ?,2,2,4,fallback_support,2
Excellent ? job good,2,2,4,fallback_support,2
Best service. Nothing to improve upon.,2,2,4,fallback_support,2
Timely delivered my order thanx to blue dart and courier boy,2,2,4,fallback_support,2
The box was severely damaged and out of shape. Some of the contents inside the box were also damaged but they are in usable condition. Did not expect this kind of package handling from Blue Dart.,0,0,2,damage_lost,0
Nice guy .,2,2,4,fallback_support,2
Goood service tq,2,2,4,fallback_support,2
1 day delivery from Mumbai,2,2,4,fallback_support,2
Jaisa expact ki waisa bilkul bhi nhi h,0,0,4,fallback_support,1
Gwh,1,1,4,fallback_support,1
Already too good delivery,2,2,4,fallback_support,2
Delivery was in time and with good manner,2,2,4,fallback_support,2
Very nice bheviour and good man,2,2,4,fallback_support,2
An excellent services,2,2,4,fallback_support,2
How can we return our product,1,1,7,refund,1
Very Nice delivered,2,2,4,fallback_support,2
Kudos to BlueDart_ for their outstanding service!My parcel was delivered on time,2,2,4,fallback_support,2
The delivery staff was very friendly and he helped us very much,2,2,4,fallback_support,2
Polite talk and timely delivery,2,2,4,fallback_support,2
??? late service late 15days late,0,0,0,delay,0
My parcel reached your delhi hub but  date 28 he didn't reach my location. And your Best delivery partner said I don't receive the call. Very liars my special one b'day Nikal gya ? apke delivery partner ki Vajah se. And kal bhi mei apna parcel self jakar lekar aya hu apke hub se... Blue dart your delivery experience is -10Thank you Very much,0,0,4,support,2
verry Good services,2,2,4,fallback_support,2
Could have been a day earlier. But Alas the weather!,1,1,4,fallback_support,1
I didn't recieved this order as i was out of town. And no one on my behalf recieved this order. It was supposed to be returned but it was forcibly delivered somewhere which i also don't know.,0,0,7,refund,0
I want  refund I don't want this item it changed,0,0,7,refund,0
Quick delivery and it's absolutely good ?,2,2,4,fallback_support,2
