text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority,primary_aspect_name
I have not received this consignment till now. Some fraud is being played by your employees or delivery personnel. I was expecting this to be delivered. I am going to lodge a police complaint against blue dart delivery tomorrow morning. It is disgusting delaying with such cheats. The status says delivered to MAHA.,logistics,0,0,0,damage_lost,0,4,3,delivery_failures
Excellent delivery .,logistics,2,2,7,fallback_support,2,1,0,service_quality
I had not received the courier,logistics,0,0,7,damage_lost,0,4,3,service_quality
On Time In full Rain,logistics,2,2,7,fallback_support,2,1,0,service_quality
Best experience with it,logistics,2,2,7,fallback_support,2,1,0,service_quality
If approx time of delivery is provided it would be better. The range should be within 2 hours.,logistics,1,1,7,fallback_support,1,0,0,service_quality
1st refuses to give doorstep deliveryFinally he did,logistics,1,1,7,fallback_support,1,0,0,service_quality
Good personal behavior and good service,logistics,2,2,7,behaviour,2,1,0,service_quality
Blue dart staff very co operative ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery boy is very good and also on time Delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Yo deliver the parcel before given time,logistics,2,2,7,fallback_support,2,1,0,service_quality
Prompness,logistics,1,1,7,fallback_support,1,0,0,service_quality
Ok milga,logistics,1,1,7,fallback_support,1,0,0,service_quality
Excellent..timely delivery all the time..Delivery boy is very good behavior..,logistics,2,2,7,behaviour,2,1,0,service_quality
Delivery was fine thank you,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery partner was so humble and helpful. Thank you.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I ordered 3 but I got 2 and both were same I would like to complain against order,logistics,0,0,7,fallback_support,1,0,1,service_quality
V.Gd,logistics,1,1,7,fallback_support,1,0,0,service_quality
Delivery was very smooth and delivery partner was very cooperative.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thnk youuu so much,logistics,2,2,7,fallback_support,2,1,0,service_quality
no improvement,logistics,0,0,7,fallback_support,1,0,1,service_quality
Share contact number of delivery person in tracking,logistics,1,1,4,tracking,1,0,1,tracking_updates
Very well behaved and polite delivery executive.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery time and person both are good,logistics,2,2,7,fallback_support,2,1,0,service_quality
Received wrong product and request your agent for return with written request after discussing with Mr Isaan Singh,logistics,0,0,7,refund,0,4,3,service_quality
Goooddddddddd,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good service and delivers to remote areas as well.,logistics,2,2,7,fallback_support,2,1,0,service_quality
This time the deliveries were very late..there are still pending deliveries which were to be deliveries on 25th,logistics,0,0,0,delay,0,3,2,delivery_failures
Fast & efficient,logistics,2,2,7,fallback_support,2,1,0,service_quality
Gud service really satisfied,logistics,2,2,7,fallback_support,2,1,0,service_quality
Humble and sweet guy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very helpful and cooperative staff,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very poor service This address is located in the same 120 feet road,logistics,0,0,7,pricing,0,3,2,service_quality
Home delivery is just awesome,logistics,2,2,7,fallback_support,2,1,0,service_quality
3 days delayed delivery I'm not satisfied this delivery,logistics,0,0,0,delay,0,3,2,delivery_failures
Not delivered within 48 hours as you claim,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
While i appreciate the support of the delivery official in helping me out,logistics,2,2,7,support,2,1,0,service_quality
The delivery person was not at all ready to give me my parcel just number due to some personal reasons my otp phone number was out of service I even asked him to verify yet he made me do the recharge of my number very disappointed,logistics,0,0,7,fallback_support,1,0,1,service_quality
Best service and best delivery agent,logistics,2,2,7,fallback_support,2,1,0,service_quality
Im not received the package,logistics,0,0,7,damage_lost,0,4,3,service_quality
This is a good sensible person,logistics,2,2,7,fallback_support,2,1,0,service_quality
Company is cheater . Received 1 cargo,logistics,0,0,7,fallback_support,1,0,1,service_quality
Product delivered by very soon,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thanks to deliverd service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good delivery speed and friendly good mannered delivery person.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very very very bad ..this is too much disgusting the delivery partner took money from me and didn't delivered the product still now .. disgusting..I never use blue dart service again,logistics,0,0,7,fallback_support,0,3,2,service_quality
SHOULD BE PROVIDED FAST DELIVERY.,logistics,1,1,7,fallback_support,2,0,0,service_quality
Good experience. Product delivered on time,logistics,2,2,7,fallback_support,2,1,0,service_quality
Yesterday Order was not delivered mentioning as delivery was attempted and apartment was locked/closed. But there was no phonecall and delivery was not attempted. We have taken leave and waited for that order. It is complete disappointment.,logistics,0,0,0,support,0,3,2,delivery_failures
Very bad no phone call done to and 1st day with out call attempt my package .,logistics,0,0,7,support,0,3,2,service_quality
Good delivery for sure.,logistics,2,2,7,fallback_support,2,1,0,service_quality
1)People have no courtesy 2) delivery man was upset that I did not have enough change for payment on delivery3) questioning unnecessary queries is unprofessional,logistics,0,0,2,behaviour,0,4,3,agent_behaviour
It was efficient on time delivery. No suggestions at the moment.,logistics,2,2,7,fallback_support,2,1,0,service_quality
He is very sweet and co operative staff..nice behaviour.i am Fully satisfied,logistics,2,2,7,behaviour,2,1,0,service_quality
Not delivered in first attempt,logistics,1,0,0,fallback_support,0,0,0,delivery_failures
Good affhhjjj,logistics,1,2,7,fallback_support,2,1,0,service_quality
Excellent delivery service Good behaviour,logistics,2,2,7,behaviour,2,1,0,service_quality
Some delay,logistics,1,0,0,delay,0,2,2,delivery_failures
Sari is worsted that quality is too bad that's colour is old ????,logistics,0,0,7,fallback_support,0,3,2,service_quality
Achual time lilebari best fast good,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very pathetic and bad Service,logistics,0,0,7,fallback_support,0,3,2,service_quality
Overall good but delivered product before evening,logistics,2,2,7,fallback_support,2,1,0,service_quality
Best delivery person I have ever meet,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very Nice Service Sohel Bhai??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great experience with blue dart. In my area your delivery agent is very good. Behaviour of your delivery agent is great,logistics,2,2,7,behaviour,2,1,0,service_quality
May be by taking less number of days for delivery Rest is fine. Thank you,logistics,1,2,7,fallback_support,2,0,0,service_quality
Always polite and with patience.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery partner was humble and able identify the address.,logistics,2,2,7,fallback_support,2,1,0,service_quality
If the courier does not find my place,logistics,1,1,7,fallback_support,1,0,0,service_quality
Your services are too good?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Excellent awesome this delivery boy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Blue dart customer services is very quickly..I am impressed for your services....,logistics,2,2,7,support,2,1,0,service_quality
Bottle was broken into pieces,logistics,0,0,5,damage_lost,0,4,3,damaged_package
Aaaaaaaaaa,logistics,1,1,7,fallback_support,1,0,0,service_quality
good service executive is polite,logistics,2,2,7,fallback_support,2,1,0,service_quality
I can?t think of anything as of now,logistics,1,1,7,fallback_support,1,0,0,service_quality
Thanks blue dart for your fast service.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I have not recieved the order yet,logistics,0,0,7,fallback_support,1,0,1,service_quality
One of the worst courier experiences I?ve ever had. My package was supposed to be delivered by 23 may but it?s been delayed with no updates,logistics,0,0,0,delay,0,3,2,delivery_failures
Really very nice service?????I m so happy??Thank you??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery was v fast and smooth.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good service ? very nice,logistics,2,2,7,fallback_support,2,1,0,service_quality
Bhen chod,logistics,0,0,7,fallback_support,1,0,1,service_quality
He was politely and Looks Professional,logistics,2,2,7,fallback_support,2,1,0,service_quality
Bas parcel thoda sa aur jldi krdo,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very good staff and services,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thank you Blue dart Express ??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Parcel is delay every time,logistics,0,0,0,delay,0,3,2,delivery_failures
Very good service by the delivery personnel,logistics,2,2,7,fallback_support,2,1,0,service_quality
Time to time delivery & better cordinate with politely speak.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Give expected time of delivery as well,logistics,1,1,7,fallback_support,1,0,0,service_quality
This delivery experience was good.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good service person who give dilivery are very polite,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very Early delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
best service blue dart is always best,logistics,2,2,7,fallback_support,2,1,0,service_quality
Please do call few more times the customer and share the delivery person number to customer so that even if call is missed they can call back and co ordinate properly,logistics,1,1,7,support,1,0,0,service_quality
Staff had very good communication skills and smooth delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Blue dart courier man called me and said sir I was trying to reach you but you didn?t pick my call he was laying directly without  shaming he didn?t deliver the parcel and said you can come to office and pick up. Moreover,logistics,0,0,7,support,1,0,1,service_quality
Very slow delivery after 9 days and colours has been changed in shoeh,logistics,0,0,7,fallback_support,0,3,2,service_quality
Sakinak to santacruz. Delivery in 48 hours Thats the blue dart service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Like present,logistics,1,1,7,fallback_support,1,0,0,service_quality
Consignment received . No complaints.,logistics,2,2,4,tracking,0,3,2,tracking_updates
Very good service. The delivery partner was friendly and responsible. Thankyou,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good delivery guy dhaval darbar,logistics,2,2,7,fallback_support,2,1,0,service_quality
T shirt material was superb,logistics,2,2,7,fallback_support,2,1,0,service_quality
The checkbook I haven't received,logistics,0,0,7,fallback_support,1,0,1,service_quality
good fix,logistics,1,2,7,fallback_support,2,1,0,service_quality
I observed that your service is better.?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Blue dart gorakhpur chapiya office ?????? ?? ??? ????? ???? ??? ?? ??? ??? ???? ????,logistics,1,1,7,fallback_support,1,0,0,service_quality
Best book for class 10,logistics,1,1,7,fallback_support,1,0,0,service_quality
From last many orders,logistics,1,1,7,fallback_support,1,0,0,service_quality
I am happy after seeing my parcel and the delivery staff is also very understanding,logistics,2,2,7,fallback_support,2,1,0,service_quality
On time and super fast delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Product quality is so poor j want refund,logistics,0,0,7,refund,0,4,3,service_quality
Dedicated and passionate.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great Service Like Always. Will definitlely use BlueDart in future as well.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great job by the delivery agent,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery was on time nd delivery man  was nice,logistics,2,2,7,fallback_support,2,1,0,service_quality
Well I got my product with care,logistics,2,2,7,fallback_support,2,1,0,service_quality
All good but most important delivery person behaviour is very nice,logistics,2,2,7,behaviour,2,1,0,service_quality
Best customer service by delivery partner ?,logistics,2,2,7,support,2,1,0,service_quality
Very vaey good  I am very happy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Reached safe my courier good deliveryMan and blue dart,logistics,2,2,7,fallback_support,2,1,0,service_quality
Excellent work Great Person Good Nature,logistics,2,2,7,fallback_support,2,1,0,service_quality
Product box is small broken but it's delivery boy is excellent and he talk friendly and product packaging type is nice,logistics,1,2,5,damage_lost,0,1,0,damaged_package
Cover is breaked,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery is smooth and packing is also very good. It took some time to reach me because the item is coming from kerla. Otherwise everything is good.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Quick and efficient service always !,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good behaviour of delvry guy,logistics,2,2,7,behaviour,2,1,0,service_quality
Satisfied with your present service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Excellent customer service support,logistics,2,2,7,support,2,1,0,service_quality
All good there is no problem,logistics,2,0,7,fallback_support,0,1,0,service_quality
Impressive for rules and regulation but just think about customer situation also,logistics,1,1,7,fallback_support,1,0,0,service_quality
Nice Delivery of the curiour,logistics,2,2,7,fallback_support,2,1,0,service_quality
Before Delivery Show Contact Details OfDelivery Boy.,logistics,1,1,7,support,1,0,0,service_quality
Scam produuxt,logistics,0,0,7,fallback_support,1,4,3,service_quality
fast delivered ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Blue dart delivery is a very good deliverd app,logistics,2,2,7,fallback_support,2,1,0,service_quality
Fine and quick service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Not received but wrongly got message as delivered,logistics,0,0,7,damage_lost,0,4,3,service_quality
Delivery staff is very helpful ? ? ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
Products is change,logistics,0,0,7,fallback_support,1,0,1,service_quality
Very bad experience with delivery. Give fake reason about delevery,logistics,0,0,7,fallback_support,0,3,2,service_quality
Excellent Service and on time.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Fast dilivery and polite attitude,logistics,2,2,7,fallback_support,2,1,0,service_quality
The quick delivery just works and i request please ensure this at this standard if not better.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery speed and service is up to the mark.,logistics,2,2,7,fallback_support,2,1,0,service_quality
I am satisfied with ur order,logistics,2,2,7,fallback_support,2,1,0,service_quality
Proper update through msg,logistics,2,2,7,fallback_support,2,1,0,service_quality
Best Experience Really Impressed With His Communication SkillAnd Polite Greeting after handing over my parcel safely to my brother im my absence,logistics,2,2,7,fallback_support,2,1,0,service_quality
Great job Akshay nice work exlent working in the day ????,logistics,2,2,7,fallback_support,2,1,0,service_quality
Thank you Titan ? Fast delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Sajan always calls to check for customer availability which a very good practice.,logistics,2,2,7,support,2,1,0,service_quality
Get verified on Truecaller,logistics,1,1,7,support,1,0,0,service_quality
Very good and well behavior of delivery boy.Too fast delivery.,logistics,2,2,7,behaviour,2,1,0,service_quality
Your service is fast and good but product is different received,logistics,1,2,7,fallback_support,2,1,0,service_quality
My sirname in your message is spelt incorrectly as Dodderi!! Why?,logistics,1,1,7,fallback_support,0,0,0,service_quality
Sarvice bhahut badhiya hai aap logo ki,logistics,2,0,7,fallback_support,0,0,0,service_quality
I want to return tha parcel it is wrong parcel I have received,logistics,0,0,7,refund,0,4,3,service_quality
I got on time.3,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery boy did his best.He is honest to his job.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Damaged box and product.,logistics,0,0,5,damage_lost,0,4,3,damaged_package
Employee s behaviour is good and cash and online both payment facility available,logistics,2,2,7,behaviour,2,1,0,service_quality
Great service. Very polite behavior.Delivery person knew the route very well. I didn't have to struggle to explain the location. Thank you:),logistics,2,2,7,behaviour,2,1,0,service_quality
The order was delayed but the delivery boy partner behaviour is very good and the product is in very good condition. I like the product and service,logistics,2,0,0,delay,0,1,0,delivery_failures
Good nd kind,logistics,2,2,7,fallback_support,2,1,0,service_quality
Its very timely and professional,logistics,2,2,7,fallback_support,2,1,0,service_quality
Wrong supply  material,logistics,0,0,7,fallback_support,0,3,2,service_quality
not delivered yet and showing status as delivered,logistics,0,0,0,delay,0,3,2,delivery_failures
Books pohachne me bohat time laga,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery by 6 pm preferably,logistics,1,1,7,fallback_support,1,0,0,service_quality
Greatest service ever?,logistics,2,2,7,fallback_support,2,1,0,service_quality
minimal calls,logistics,1,1,7,support,1,0,0,service_quality
V good . Kudos.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Recruit good staff like the person who was delivering my consignment - He provided service with a smile. Mr Vinod is definitely an asset to your organisation,logistics,2,2,4,tracking,1,1,0,tracking_updates
Your Delivery partner is so humble.,logistics,2,2,7,fallback_support,2,1,0,service_quality
The product reached Jamshedpur on Monday but was not delivered. After two days I had to go to Blue Dart's office to receive the product.,logistics,0,0,0,fallback_support,0,3,2,delivery_failures
no pasand,logistics,0,0,7,fallback_support,1,0,1,service_quality
Please replace my order,logistics,0,0,7,fallback_support,1,0,1,service_quality
Didn't call me once the order reached final delivery station,logistics,0,0,7,support,1,0,1,service_quality
vvery good ?,logistics,2,2,7,fallback_support,2,1,0,service_quality
I am very happy in this service good service ??,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delivery on time. Delivery partner very polite and respectful. Followed protocol.,logistics,2,2,7,fallback_support,2,1,0,service_quality
excutive is not respect the customer,logistics,0,0,7,fallback_support,1,0,1,service_quality
Ex lent,logistics,2,2,7,fallback_support,2,1,0,service_quality
Delevery man was very polite,logistics,2,2,7,fallback_support,2,1,0,service_quality
No workout,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very worst delivery service not once but many times I was promised to get this parcel around evening but the delivery guy came around 9:10pm which is outside the delivery time this is not at all acceptable and the toll free number also doesn?t work to raise an issue I am very much disappointed and I wouldn?t recommend choosing blue dart at all,logistics,0,0,7,fallback_support,0,3,2,service_quality
Worst staff behavior. He was rude enough to have a fight with my father. If possible,logistics,0,0,2,behaviour,0,3,2,agent_behaviour
Delivery was prompt. Delivery person was quite polite.,logistics,2,2,7,fallback_support,2,1,0,service_quality
On time delivery. Thank you so much.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Cheated with order and please reyurn,logistics,0,0,7,fallback_support,1,4,3,service_quality
Send messages of delivery in real time pls but delivery boy ws good,logistics,1,2,7,fallback_support,2,1,0,service_quality
H ke,logistics,1,1,7,fallback_support,1,0,0,service_quality
He give me wrong order I have ordered wrist watch he give me coffee cup,logistics,0,0,7,pricing,0,3,2,service_quality
I was not expecting it 3 days earlier but thanks for the delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good on time fast,logistics,2,2,7,fallback_support,2,1,0,service_quality
Totally disappointed after 4 days delivered to the 3 km distance of my address,logistics,0,0,7,fallback_support,1,0,1,service_quality
Two shirts ordered but delivered only one,logistics,0,0,7,fallback_support,1,0,1,service_quality
Excellent Service by the Executive. Thankyou so much!,logistics,2,2,7,fallback_support,2,1,0,service_quality
? than you very much greatness service Blue dart,logistics,2,2,7,fallback_support,2,1,0,service_quality
Super fast Delivery boy,logistics,2,2,7,fallback_support,2,1,0,service_quality
Wrong order placed at my place,logistics,0,0,7,fallback_support,0,3,2,service_quality
Good behaviour of your delivery partner,logistics,2,2,7,behaviour,2,1,0,service_quality
The delivery guy was very polite and speedy in delivering the product. I really appreciated the promptness and courteous attitude,logistics,2,2,7,fallback_support,2,4,3,service_quality
The product is not sealed at all and completely damaged product is received.,logistics,0,0,5,damage_lost,0,4,3,damaged_package
Its good no need to serve better.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Very good day for me,logistics,2,2,7,fallback_support,2,1,0,service_quality
The delivery executive has visited multiple times and by now he knows everyone at my house but still he double checks before delivering. Either he strictly follows SOP or something else,logistics,1,1,7,fallback_support,1,0,0,service_quality
Share rider number also before delivery,logistics,1,1,7,fallback_support,1,0,0,service_quality
Mohd Azad delivered the order very quickly to the address. Thank you!,logistics,2,2,7,fallback_support,2,1,0,service_quality
He was on time and exactly called from front of my house Thank you,logistics,2,2,7,support,2,1,0,service_quality
Nice person supporting Man,logistics,2,2,7,support,2,1,0,service_quality
Package is not received and showing delivered. Pls double check and arrange to get the package delivered,logistics,0,0,7,damage_lost,0,4,3,service_quality
It's already the best.We can't 'better' the best.,logistics,2,2,7,fallback_support,2,1,0,service_quality
My parcel even being in Blue dart office Imphal,logistics,0,0,7,fallback_support,1,0,1,service_quality
Dghjm,logistics,1,1,7,fallback_support,1,0,0,service_quality
did not receive the parcel,logistics,0,0,7,damage_lost,0,4,3,service_quality
Miss match delivered by,logistics,0,0,7,fallback_support,1,0,1,service_quality
Good v good v good,logistics,2,2,7,fallback_support,2,1,0,service_quality
Not specified for Delivery Status.,logistics,1,1,7,fallback_support,1,0,0,service_quality
dilivery good on the time,logistics,2,2,7,fallback_support,2,1,0,service_quality
Trustworthy ???,logistics,1,1,7,fallback_support,1,0,0,service_quality
Not knowing who sheela is and have not even received a call from them that they are delivering to third person,logistics,0,0,7,support,1,0,1,service_quality
Ghjhg,logistics,1,1,7,fallback_support,1,0,0,service_quality
Delay delay,logistics,0,0,0,delay,0,3,2,delivery_failures
The delivere boy was awsom,logistics,2,2,7,fallback_support,2,1,0,service_quality
WASTE ITEM,logistics,0,0,7,fallback_support,1,0,1,service_quality
Delivery agents behaviour was really very nice. Loved,logistics,2,2,7,behaviour,2,1,0,service_quality
I have not received a call to pick up the delivery,logistics,0,0,7,damage_lost,0,4,3,service_quality
I received before the time. Thank you blue dart.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Super super ? parcel sarvice,logistics,2,2,7,fallback_support,2,1,0,service_quality
The delivery person didn?t come to my house and instead asked me to come to a spot a little away,logistics,0,0,7,fallback_support,1,0,1,service_quality
as expected.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Vioco,logistics,1,1,7,fallback_support,1,0,0,service_quality
Even in heavy rain,logistics,2,2,7,fallback_support,2,1,0,service_quality
When product arrived immediately handover to customer and don't delayed.,logistics,1,0,0,delay,0,2,2,delivery_failures
Kind n helping,logistics,2,2,7,fallback_support,2,1,0,service_quality
Didn't face any problem,logistics,2,0,7,fallback_support,0,0,0,service_quality
I am happy with the service and delivered products with care.,logistics,2,2,7,fallback_support,2,1,0,service_quality
Service was  very good. Very  polite. No issues. Thanks.,logistics,2,0,7,fallback_support,0,1,0,service_quality
Try to deliver in day time.,logistics,1,1,7,fallback_support,1,0,0,service_quality
No scoop is included in the box,logistics,0,0,7,fallback_support,1,0,1,service_quality
As it is okay,logistics,1,1,7,fallback_support,1,0,0,service_quality
The delivery boys is very polite and we'll mannered..Also thanks to bluedart. Delivery on time,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good? services,logistics,2,2,7,fallback_support,2,1,0,service_quality
The thing that is not written comes out from within,logistics,1,1,7,fallback_support,1,0,0,service_quality
Very good for responding,logistics,2,2,7,fallback_support,2,1,0,service_quality
Most irresponsible courier service on earth. You postpone delivery and pass on the issue as unable or unavailable to deliver message. This happens everytime.,logistics,0,0,7,fallback_support,0,3,2,service_quality
Ek hi no. Service,logistics,2,2,7,fallback_support,2,1,0,service_quality
I didn?t got my product there is only covers in that parcel plz return it and refund me,logistics,0,0,7,refund,0,4,3,service_quality
Very cordial service.,logistics,2,2,7,fallback_support,2,1,0,service_quality
The delivery boy is very bad not delivered my product at my location he call me and saying come at nagaur and take your product if you not come i will return your product taking like a foolish he is very very bad person his name h ajay singh ???,logistics,0,0,0,refund,0,4,3,delivery_failures
??? ?? ???? ????? ????? ?? ?????? ???? ????? ?? ?? ????? ???? ?? ?? ?? ?? ?? ????,logistics,0,0,7,fallback_support,1,0,1,service_quality
For medicine packages,logistics,1,1,7,fallback_support,1,0,0,service_quality
Ashok Gurmukhani,logistics,1,1,7,fallback_support,1,0,0,service_quality
Excellent Service Well Done,logistics,2,2,7,fallback_support,2,1,0,service_quality
Nothing Just be polite and deliver as per customer requirement.,logistics,1,1,7,fallback_support,2,0,0,service_quality
The person is very pious and well mannered,logistics,2,2,7,fallback_support,2,1,0,service_quality
Good costumer service,logistics,2,2,7,fallback_support,2,1,0,service_quality
Your Delivery Personnel delivered the packet in time. Thanks for the timely delivery.,logistics,2,2,7,fallback_support,2,1,0,service_quality
We had to go and collect it ourslef,logistics,0,0,7,fallback_support,1,0,1,service_quality
Good response by Delivery boy timely Delivery,logistics,2,2,7,fallback_support,2,1,0,service_quality
